book_id,isbn,title,author,category_id,category,genre,academic_level,language,publication_year,demand_tier,base_total_copies,book_count,popularity_score,total_copies,available_copies,active_loans,utilization_rate,availability_rate,out_of_stock_global
1,978-2-010001-754-1,Python pour la Data Analyse,Nadia Lefèvre,1,Data Science & IA,Machine Learning,Master,French,2024,top,34,1,6.27,56,0,56,1.0,0.0,True
2,978-2-010002-125-4,Machine Learning Appliqué,Karim Benali,1,Data Science & IA,Machine Learning,Master,French,2023,top,34,1,6.27,48,0,48,1.0,0.0,True
3,978-2-010003-350-3,Deep Learning Pratique,Claire Martin,1,Data Science & IA,Machine Learning,Doctorate,French,2022,high,24,1,3.63,67,12,55,0.8209,0.1791,False
4,978-2-010004-242-1,IA Générative et Applications,Thomas Bernard,1,Data Science & IA,Machine Learning,Master,French,2025,top,34,1,6.27,50,0,50,1.0,0.0,True
5,978-2-010005-792-8,Fondamentaux de la Science des Données,Sophie Durand,1,Data Science & IA,Machine Learning,Undergraduate,French,2021,high,24,1,3.63,68,11,57,0.8382,0.1618,False
6,978-2-010006-189-9,NLP pour Analystes,Mehdi Amrani,1,Data Science & IA,Machine Learning,Master,French,2020,medium,16,1,1.65,69,34,35,0.5072,0.4928,False
7,978-2-010007-532-0,Computer Vision Essentials,Emma Collins,1,Data Science & IA,Machine Learning,Master,English,2022,medium,16,1,1.65,70,37,33,0.4714,0.5286,False
8,978-2-010008-130-1,Éthique de l’Intelligence Artificielle,Luc Moreau,1,Data Science & IA,Machine Learning,Doctorate,French,2021,medium,16,1,1.65,66,36,30,0.4545,0.5455,False
9,978-2-020009-323-3,Power BI Avancé,Raphaël Dubois,2,Business Intelligence,Power BI / Reporting,Master,French,2024,top,34,1,5.51,50,0,50,1.0,0.0,True
10,978-2-020010-617-9,Tableaux de Bord Décisionnels,Julie Mercier,2,Business Intelligence,Power BI / Reporting,Undergraduate,French,2022,high,24,1,3.19,70,12,58,0.8286,0.1714,False
11,978-2-020011-127-8,DAX Patterns pour BI,Marco Ricci,2,Business Intelligence,Power BI / Reporting,Master,English,2023,top,34,1,5.51,47,0,47,1.0,0.0,True
12,978-2-020012-303-8,Modélisation en Étoile,Anne Petit,2,Business Intelligence,Power BI / Reporting,Undergraduate,French,2021,high,24,1,3.19,64,11,53,0.8281,0.1719,False
13,978-2-020013-529-3,Storytelling avec les Données,Laura Simon,2,Business Intelligence,Power BI / Reporting,Undergraduate,French,2020,medium,16,1,1.45,67,34,33,0.4925,0.5075,False
14,978-2-020014-559-9,Self-Service BI Governance,Peter Novak,2,Business Intelligence,Power BI / Reporting,Master,English,2022,medium,16,1,1.45,63,31,32,0.5079,0.4921,False
15,978-2-020015-384-0,Power Query en Pratique,Mina Haddad,2,Business Intelligence,Power BI / Reporting,Master,French,2023,high,24,1,3.19,68,13,55,0.8088,0.1912,False
16,978-2-020016-877-2,KPI et Pilotage Opérationnel,Marc Fontaine,2,Business Intelligence,Power BI / Reporting,Undergraduate,French,2019,medium,16,1,1.45,71,38,33,0.4648,0.5352,False
17,978-2-030017-814-6,SQL pour l’Entrepôt de Données,Samuel Laurent,3,Data Engineering,ETL / Data Warehouse,Undergraduate,French,2023,top,34,1,5.89,47,0,47,1.0,0.0,True
18,978-2-030018-448-4,Data Warehouse & OLAP,Élodie Garnier,3,Data Engineering,ETL / Data Warehouse,Master,French,2022,top,34,1,5.89,56,0,56,1.0,0.0,True
19,978-2-030019-259-3,ETL Moderne avec Python,Nora Fischer,3,Data Engineering,ETL / Data Warehouse,Master,French,2024,top,34,1,5.89,45,0,45,1.0,0.0,True
20,978-2-030020-881-5,Architecture Lakehouse,Victor Nguyen,3,Data Engineering,ETL / Data Warehouse,Master,French,2025,high,24,1,3.41,73,11,62,0.8493,0.1507,False
21,978-2-030021-204-1,Qualité des Données,Hugo Robert,3,Data Engineering,ETL / Data Warehouse,Master,French,2021,medium,16,1,1.55,65,34,31,0.4769,0.5231,False
22,978-2-030022-489-1,Pipelines Cloud Analytics,Oliver Smith,3,Data Engineering,ETL / Data Warehouse,Master,English,2022,medium,16,1,1.55,67,31,36,0.5373,0.4627,False
23,978-2-030023-467-5,DataOps et Industrialisation,Inès Caron,3,Data Engineering,ETL / Data Warehouse,Doctorate,French,2023,medium,16,1,1.55,66,33,33,0.5,0.5,False
24,978-2-030024-718-4,Bases NoSQL pour Analytics,Yann Muller,3,Data Engineering,ETL / Data Warehouse,Undergraduate,French,2020,medium,16,1,1.55,64,33,31,0.4844,0.5156,False
25,978-2-040025-926-0,Statistiques pour Data Science,Mathieu Perrin,4,Statistiques,Analyse quantitative,Undergraduate,French,2023,top,34,1,4.37,52,0,52,1.0,0.0,True
26,978-2-040026-847-7,Probabilités Appliquées,Sarah Cohen,4,Statistiques,Analyse quantitative,Undergraduate,French,2021,high,24,1,2.53,66,12,54,0.8182,0.1818,False
27,978-2-040027-649-1,Économétrie avec R,Alice Fournier,4,Statistiques,Analyse quantitative,Master,French,2020,medium,16,1,1.15,63,30,33,0.5238,0.4762,False
28,978-2-040028-487-1,Méthodes Bayésiennes,David Klein,4,Statistiques,Analyse quantitative,Doctorate,English,2022,medium,16,1,1.15,60,29,31,0.5167,0.4833,False
29,978-2-040029-665-4,Analyse Multivariée,Camille Roy,4,Statistiques,Analyse quantitative,Master,French,2019,medium,16,1,1.15,65,34,31,0.4769,0.5231,False
30,978-2-040030-949-9,Tests Statistiques Pratiques,Olivier Faure,4,Statistiques,Analyse quantitative,Undergraduate,French,2021,medium,16,1,1.15,63,32,31,0.4921,0.5079,False
31,978-2-040031-982-5,Time Series Forecasting,Grace Lee,4,Statistiques,Analyse quantitative,Master,English,2023,medium,16,1,1.15,64,32,32,0.5,0.5,False
32,978-2-040032-691-3,Plans d’Expérience,Martin Vidal,4,Statistiques,Analyse quantitative,Doctorate,French,2018,low,12,1,0.402,89,74,15,0.1685,0.8315,False
33,978-2-050033-821-1,Code Civil Commenté,Jean Marchand,5,Droit,Droit public / privé,Undergraduate,French,2024,high,24,1,1.87,64,15,49,0.7656,0.2344,False
34,978-2-050034-146-3,Droit Administratif,Pauline Chevalier,5,Droit,Droit public / privé,Undergraduate,French,2022,medium,16,1,0.85,64,33,31,0.4844,0.5156,False
