snapshot_id,date_id,snapshot_date,book_id,branch_id,category_id,total_copies,available_copies,active_loans,utilization_rate,availability_rate,out_of_stock,loan_count_total,loan_count_120d,unsatisfied_reservations,reallocation_priority
S0000001,20240930,2024-09-30,1,1,1,8,0,8,1.0,0.0,True,4,4,6,Critique
S0000002,20240930,2024-09-30,1,2,1,7,0,7,1.0,0.0,True,1,1,5,Critique
S0000003,20240930,2024-09-30,1,3,1,5,0,5,1.0,0.0,True,1,1,0,Normale
S0000004,20240930,2024-09-30,1,4,1,4,0,4,1.0,0.0,True,2,2,3,Critique
S0000005,20240930,2024-09-30,1,5,1,6,0,6,1.0,0.0,True,2,2,5,Critique
S0000006,20240930,2024-09-30,1,6,1,4,0,4,1.0,0.0,True,5,5,0,Élevée
S0000007,20240930,2024-09-30,2,1,1,8,0,8,1.0,0.0,True,1,1,6,Critique
S0000008,20240930,2024-09-30,2,2,1,7,0,7,1.0,0.0,True,1,1,2,Critique
S0000009,20240930,2024-09-30,2,3,1,5,0,5,1.0,0.0,True,1,1,0,Normale
S0000010,20240930,2024-09-30,2,4,1,4,0,4,1.0,0.0,True,1,1,3,Critique
S0000011,20240930,2024-09-30,2,5,1,6,0,6,1.0,0.0,True,3,3,5,Critique
S0000012,20240930,2024-09-30,2,6,1,4,1,3,0.75,0.25,False,1,1,0,Normale
S0000013,20240930,2024-09-30,3,1,1,5,0,5,1.0,0.0,True,3,3,4,Critique
S0000014,20240930,2024-09-30,3,2,1,5,0,5,1.0,0.0,True,2,2,2,Critique
S0000015,20240930,2024-09-30,3,3,1,4,1,3,0.75,0.25,False,0,0,0,Normale
S0000016,20240930,2024-09-30,3,4,1,3,0,3,1.0,0.0,True,0,0,1,Critique
S0000017,20240930,2024-09-30,3,5,1,4,0,4,1.0,0.0,True,1,1,2,Critique
S0000018,20240930,2024-09-30,3,6,1,3,1,2,0.6667,0.3333,False,2,2,0,Faible
S0000019,20240930,2024-09-30,4,1,1,8,0,8,1.0,0.0,True,8,8,6,Critique
S0000020,20240930,2024-09-30,4,2,1,7,0,7,1.0,0.0,True,6,6,6,Critique
S0000021,20240930,2024-09-30,4,3,1,5,0,5,1.0,0.0,True,4,4,2,Critique
S0000022,20240930,2024-09-30,4,4,1,4,0,4,1.0,0.0,True,2,2,3,Critique
S0000023,20240930,2024-09-30,4,5,1,6,0,6,1.0,0.0,True,8,8,5,Critique
S0000024,20240930,2024-09-30,4,6,1,4,0,4,1.0,0.0,True,2,2,0,Élevée
S0000025,20240930,2024-09-30,5,1,1,5,0,5,1.0,0.0,True,0,0,1,Critique
S0000026,20240930,2024-09-30,5,2,1,5,0,5,1.0,0.0,True,0,0,0,Normale
S0000027,20240930,2024-09-30,5,3,1,4,1,3,0.75,0.25,False,0,0,0,Faible
S0000028,20240930,2024-09-30,5,4,1,3,0,3,1.0,0.0,True,0,0,0,Élevée
S0000029,20240930,2024-09-30,5,5,1,4,0,4,1.0,0.0,True,0,0,1,Critique
S0000030,20240930,2024-09-30,5,6,1,3,1,2,0.6667,0.3333,False,0,0,0,Faible
S0000031,20240930,2024-09-30,6,1,1,4,1,3,0.75,0.25,False,0,0,0,Normale
S0000032,20240930,2024-09-30,6,2,1,3,1,2,0.6667,0.3333,False,0,0,0,Normale
S0000033,20240930,2024-09-30,6,3,1,2,1,1,0.5,0.5,False,1,1,0,Faible
S0000034,20240930,2024-09-30,6,4,1,2,0,2,1.0,0.0,True,1,1,0,Normale
S0000035,20240930,2024-09-30,6,5,1,3,0,3,1.0,0.0,True,0,0,0,Normale
S0000036,20240930,2024-09-30,6,6,1,2,1,1,0.5,0.5,False,0,0,0,Faible
S0000037,20240930,2024-09-30,7,1,1,4,0,4,1.0,0.0,True,1,1,0,Normale
S0000038,20240930,2024-09-30,7,2,1,3,1,2,0.6667,0.3333,False,0,0,0,Faible
S0000039,20240930,2024-09-30,7,3,1,2,1,1,0.5,0.5,False,0,0,0,Faible
S0000040,20240930,2024-09-30,7,4,1,2,1,1,0.5,0.5,False,0,0,0,Faible
S0000041,20240930,2024-09-30,7,5,1,3,0,3,1.0,0.0,True,0,0,0,Normale
