title,category,branch_name,city,country,total_copies,available_copies,active_loans,utilization_rate,availability_rate,unsatisfied_reservations,reallocation_priority
Python pour la Data Analyse,Data Science & IA,Bibliothèque Paris-Centre,Paris,France,16.0,0.0,16.0,1.0,0.0,59.0,Critique
Machine Learning Appliqué,Data Science & IA,Bibliothèque Paris-Centre,Paris,France,10.0,0.0,10.0,1.0,0.0,56.0,Critique
Python pour la Data Analyse,Data Science & IA,ULB Bruxelles Sciences,Bruxelles,Belgique,11.0,0.0,11.0,1.0,0.0,45.0,Critique
Data Warehouse & OLAP,Data Engineering,Bibliothèque Paris-Centre,Paris,France,14.0,0.0,14.0,1.0,0.0,44.0,Critique
Power BI Avancé,Business Intelligence,Bibliothèque Paris-Centre,Paris,France,12.0,0.0,12.0,1.0,0.0,42.0,Critique
DAX Patterns pour BI,Business Intelligence,ULB Bruxelles Sciences,Bruxelles,Belgique,11.0,0.0,11.0,1.0,0.0,42.0,Critique
Machine Learning Appliqué,Data Science & IA,ULB Bruxelles Sciences,Bruxelles,Belgique,11.0,0.0,11.0,1.0,0.0,41.0,Critique
IA Générative et Applications,Data Science & IA,Bibliothèque Paris-Centre,Paris,France,15.0,0.0,15.0,1.0,0.0,41.0,Critique
DAX Patterns pour BI,Business Intelligence,Bibliothèque Paris-Centre,Paris,France,14.0,0.0,14.0,1.0,0.0,40.0,Critique
IA Générative et Applications,Data Science & IA,ULB Bruxelles Sciences,Bruxelles,Belgique,10.0,0.0,10.0,1.0,0.0,38.0,Critique
IA Générative et Applications,Data Science & IA,Campus LyonTech,Lyon,France,10.0,0.0,10.0,1.0,0.0,36.0,Critique
ETL Moderne avec Python,Data Engineering,Bibliothèque Paris-Centre,Paris,France,9.0,0.0,9.0,1.0,0.0,34.0,Critique
SQL pour l’Entrepôt de Données,Data Engineering,Bibliothèque Paris-Centre,Paris,France,9.0,0.0,9.0,1.0,0.0,33.0,Critique
Statistiques pour Data Science,Statistiques,ULB Bruxelles Sciences,Bruxelles,Belgique,14.0,0.0,14.0,1.0,0.0,33.0,Critique
Power BI Avancé,Business Intelligence,ULB Bruxelles Sciences,Bruxelles,Belgique,12.0,0.0,12.0,1.0,0.0,32.0,Critique
SQL pour l’Entrepôt de Données,Data Engineering,ULB Bruxelles Sciences,Bruxelles,Belgique,7.0,0.0,7.0,1.0,0.0,32.0,Critique
ETL Moderne avec Python,Data Engineering,ULB Bruxelles Sciences,Bruxelles,Belgique,11.0,0.0,11.0,1.0,0.0,32.0,Critique
Power BI Avancé,Business Intelligence,Campus LyonTech,Lyon,France,9.0,0.0,9.0,1.0,0.0,29.0,Critique
Data Warehouse & OLAP,Data Engineering,ULB Bruxelles Sciences,Bruxelles,Belgique,8.0,0.0,8.0,1.0,0.0,29.0,Critique
Statistiques pour Data Science,Statistiques,Bibliothèque Paris-Centre,Paris,France,13.0,0.0,13.0,1.0,0.0,28.0,Critique
Python pour la Data Analyse,Data Science & IA,Campus LyonTech,Lyon,France,12.0,0.0,12.0,1.0,0.0,27.0,Critique
Data Warehouse & OLAP,Data Engineering,Campus LyonTech,Lyon,France,15.0,0.0,15.0,1.0,0.0,22.0,Critique
Machine Learning Appliqué,Data Science & IA,Campus LyonTech,Lyon,France,10.0,0.0,10.0,1.0,0.0,21.0,Critique
DAX Patterns pour BI,Business Intelligence,Campus LyonTech,Lyon,France,8.0,0.0,8.0,1.0,0.0,20.0,Critique
ETL Moderne avec Python,Data Engineering,Campus LyonTech,Lyon,France,9.0,0.0,9.0,1.0,0.0,19.0,Critique
Machine Learning Appliqué,Data Science & IA,IUT Lille Médiathèque,Lille,France,6.0,0.0,6.0,1.0,0.0,18.0,Critique
SQL pour l’Entrepôt de Données,Data Engineering,Campus LyonTech,Lyon,France,14.0,0.0,14.0,1.0,0.0,16.0,Critique
IA Générative et Applications,Data Science & IA,BUT Marseille Bibliothèque,Marseille,France,4.0,0.0,4.0,1.0,0.0,14.0,Critique
DAX Patterns pour BI,Business Intelligence,IUT Lille Médiathèque,Lille,France,5.0,0.0,5.0,1.0,0.0,14.0,Critique
Python pour la Data Analyse,Data Science & IA,IUT Lille Médiathèque,Lille,France,7.0,0.0,7.0,1.0,0.0,13.0,Critique
Python pour la Data Analyse,Data Science & IA,Campus Liège Recherche,Liège,Belgique,5.0,0.0,5.0,1.0,0.0,12.0,Critique
Power BI Avancé,Business Intelligence,IUT Lille Médiathèque,Lille,France,7.0,0.0,7.0,1.0,0.0,12.0,Critique
IA Générative et Applications,Data Science & IA,IUT Lille Médiathèque,Lille,France,8.0,0.0,8.0,1.0,0.0,10.0,Critique
Statistiques pour Data Science,Statistiques,Campus Liège Recherche,Liège,Belgique,5.0,0.0,5.0,1.0,0.0,10.0,Critique
Machine Learning Appliqué,Data Science & IA,BUT Marseille Bibliothèque,Marseille,France,5.0,0.0,5.0,1.0,0.0,9.0,Critique
IA Générative et Applications,Data Science & IA,Campus Liège Recherche,Liège,Belgique,3.0,0.0,3.0,1.0,0.0,9.0,Critique
ETL Moderne avec Python,Data Engineering,IUT Lille Médiathèque,Lille,France,5.0,0.0,5.0,1.0,0.0,9.0,Critique
Python pour la Data Analyse,Data Science & IA,BUT Marseille Bibliothèque,Marseille,France,5.0,0.0,5.0,1.0,0.0,8.0,Critique
Power BI Avancé,Business Intelligence,Campus Liège Recherche,Liège,Belgique,6.0,0.0,6.0,1.0,0.0,8.0,Critique
SQL pour l’Entrepôt de Données,Data Engineering,IUT Lille Médiathèque,Lille,France,6.0,0.0,6.0,1.0,0.0,8.0,Critique
Statistiques pour Data Science,Statistiques,IUT Lille Médiathèque,Lille,France,6.0,0.0,6.0,1.0,0.0,8.0,Critique
DAX Patterns pour BI,Business Intelligence,BUT Marseille Bibliothèque,Marseille,France,5.0,0.0,5.0,1.0,0.0,7.0,Critique
Data Warehouse & OLAP,Data Engineering,IUT Lille Médiathèque,Lille,France,8.0,0.0,8.0,1.0,0.0,7.0,Critique
Data Warehouse & OLAP,Data Engineering,BUT Marseille Bibliothèque,Marseille,France,5.0,0.0,5.0,1.0,0.0,7.0,Critique
Statistiques pour Data Science,Statistiques,Campus LyonTech,Lyon,France,8.0,0.0,8.0,1.0,0.0,7.0,Critique
Machine Learning Appliqué,Data Science & IA,Campus Liège Recherche,Liège,Belgique,6.0,0.0,6.0,1.0,0.0,6.0,Critique
SQL pour l’Entrepôt de Données,Data Engineering,Campus Liège Recherche,Liège,Belgique,6.0,0.0,6.0,1.0,0.0,6.0,Critique
ETL Moderne avec Python,Data Engineering,BUT Marseille Bibliothèque,Marseille,France,6.0,0.0,6.0,1.0,0.0,6.0,Critique
Power BI Avancé,Business Intelligence,BUT Marseille Bibliothèque,Marseille,France,4.0,0.0,4.0,1.0,0.0,5.0,Critique
SQL pour l’Entrepôt de Données,Data Engineering,BUT Marseille Bibliothèque,Marseille,France,5.0,0.0,5.0,1.0,0.0,5.0,Critique
