reservation_id,date_id,event_date,user_id,book_id,branch_id,category_id,reservation_status,wait_days,quantity
R000001,20251223,2025-12-23,327,30,1,4,fulfilled,9,1
R000002,20260416,2026-04-16,426,51,5,7,cancelled,5,1
R000003,20250826,2025-08-26,426,12,5,2,fulfilled,2,1
R000004,20251122,2025-11-22,18,11,2,2,pending,16,1
R000005,20260324,2026-03-24,3,19,1,3,pending,7,1
R000006,20241125,2024-11-25,373,2,4,1,fulfilled,14,1
R000007,20260121,2026-01-21,100,26,5,4,fulfilled,11,1
R000008,20241003,2024-10-03,265,42,3,6,fulfilled,0,1
R000009,20241205,2024-12-05,420,4,1,1,fulfilled,15,1
R000010,20241204,2024-12-04,40,47,1,6,fulfilled,3,1
R000011,20250927,2025-09-27,58,12,4,2,fulfilled,11,1
R000012,20260413,2026-04-13,163,69,1,9,fulfilled,0,1
R000013,20241125,2024-11-25,95,42,2,6,fulfilled,4,1
R000014,20251207,2025-12-07,32,8,4,1,fulfilled,3,1
R000015,20260304,2026-03-04,120,41,3,6,fulfilled,0,1
R000016,20250518,2025-05-18,226,13,1,2,fulfilled,2,1
R000017,20241104,2024-11-04,446,16,1,2,pending,3,1
R000018,20250617,2025-06-17,69,4,1,1,cancelled,26,1
R000019,20241205,2024-12-05,418,68,6,9,fulfilled,0,1
R000020,20250624,2025-06-24,265,42,1,6,cancelled,4,1
R000021,20260210,2026-02-10,450,43,5,6,fulfilled,0,1
R000022,20260417,2026-04-17,318,43,5,6,fulfilled,0,1
R000023,20251118,2025-11-18,315,10,1,2,fulfilled,6,1
R000024,20250515,2025-05-15,122,4,1,1,fulfilled,1,1
R000025,20250616,2025-06-16,205,11,6,2,fulfilled,2,1
R000026,20250306,2025-03-06,137,72,1,9,fulfilled,0,1
R000027,20240922,2024-09-22,162,40,3,5,fulfilled,0,1
R000028,20260114,2026-01-14,233,11,6,2,fulfilled,9,1
R000029,20250321,2025-03-21,234,17,1,3,fulfilled,8,1
R000030,20250502,2025-05-02,304,39,6,5,fulfilled,0,1
R000031,20251109,2025-11-09,246,31,2,4,fulfilled,11,1
R000032,20251120,2025-11-20,299,11,1,2,pending,4,1
R000033,20250428,2025-04-28,162,35,2,5,fulfilled,6,1
R000034,20250109,2025-01-09,353,3,5,1,fulfilled,4,1
R000035,20241128,2024-11-28,88,15,2,2,fulfilled,1,1
R000036,20260420,2026-04-20,333,11,3,2,fulfilled,0,1
R000037,20240925,2024-09-25,187,44,2,6,fulfilled,0,1
R000038,20260519,2026-05-19,198,66,1,9,fulfilled,3,1
R000039,20250217,2025-02-17,359,26,1,4,fulfilled,14,1
R000040,20250501,2025-05-01,147,17,1,3,fulfilled,20,1
R000041,20250822,2025-08-22,333,9,1,2,pending,11,1
R000042,20251216,2025-12-16,187,41,2,6,fulfilled,16,1
R000043,20241111,2024-11-11,291,46,5,6,fulfilled,0,1
R000044,20260209,2026-02-09,416,70,3,9,fulfilled,0,1
R000045,20260101,2026-01-01,427,15,3,2,fulfilled,0,1
R000046,20250914,2025-09-14,310,1,5,1,fulfilled,12,1
R000047,20250923,2025-09-23,153,11,2,2,pending,10,1
R000048,20240913,2024-09-13,220,35,4,5,fulfilled,4,1
R000049,20250617,2025-06-17,95,44,2,6,fulfilled,14,1
R000050,20250423,2025-04-23,294,25,1,4,fulfilled,5,1
R000051,20250523,2025-05-23,215,43,1,6,fulfilled,11,1
R000052,20260517,2026-05-17,249,40,3,5,fulfilled,0,1
R000053,20260325,2026-03-25,352,31,2,4,fulfilled,18,1
R000054,20251003,2025-10-03,375,7,3,1,fulfilled,0,1
