fact_id,source_id,fact_source,event_type,date_id,event_date,is_exam_period_event,user_id,book_id,branch_id,category_id,reservation_status,loan_date,due_date,return_date,loan_duration_days,days_overdue,penalty_amount,wait_days,quantity,total_copies,available_copies,active_loans,utilization_rate,availability_rate,out_of_stock,loan_count_total,loan_count_120d,unsatisfied_reservations,reallocation_priority
F0000001,1,event,loan,20240901,2024-09-01,False,405,1,1,1,,2024-09-01,2024-10-06,2024-10-10,28,11,5.5,0,1,,,,,,,,,,
F0000002,2,event,loan,20240901,2024-09-01,False,384,7,5,1,,2024-09-01,2024-09-22,2024-09-16,15,0,0,0,1,,,,,,,,,,
F0000003,3,event,loan,20240901,2024-09-01,False,83,2,3,1,,2024-09-01,2024-09-22,2024-09-12,11,0,0,0,1,,,,,,,,,,
F0000004,4,event,loan,20240901,2024-09-01,False,241,18,3,3,,2024-09-01,2024-09-22,2024-09-12,11,0,0,0,1,,,,,,,,,,
F0000005,5,event,loan,20240901,2024-09-01,False,328,11,5,2,,2024-09-01,2024-09-22,2024-09-11,10,0,0,0,1,,,,,,,,,,
F0000006,6,event,loan,20240901,2024-09-01,False,380,3,2,1,,2024-09-01,2024-10-06,2024-10-04,33,0,0,0,1,,,,,,,,,,
F0000007,7,event,loan,20240901,2024-09-01,False,279,1,4,1,,2024-09-01,2024-10-06,2024-09-25,24,0,0,0,1,,,,,,,,,,
F0000008,8,event,loan,20240901,2024-09-01,False,421,71,2,9,,2024-09-01,2024-10-06,2024-10-05,34,0,0,0,1,,,,,,,,,,
F0000009,9,event,loan,20240901,2024-09-01,False,64,17,3,3,,2024-09-01,2024-09-22,2024-09-15,14,0,0,0,1,,,,,,,,,,
F0000010,10,event,loan,20240901,2024-09-01,False,253,5,6,1,,2024-09-01,2024-09-22,2024-09-12,11,0,0,0,1,,,,,,,,,,
F0000011,11,event,loan,20240901,2024-09-01,False,50,19,3,3,,2024-09-01,2024-09-22,2024-09-29,19,9,4.5,0,1,,,,,,,,,,
F0000012,12,event,loan,20240901,2024-09-01,False,357,1,6,1,,2024-09-01,2024-09-22,2024-09-17,14,2,1,0,1,,,,,,,,,,
F0000013,13,event,loan,20240901,2024-09-01,False,358,10,3,2,,2024-09-01,2024-09-22,2024-09-15,14,0,0,0,1,,,,,,,,,,
F0000014,14,event,loan,20240902,2024-09-02,False,446,8,5,1,,2024-09-02,2024-09-23,2024-10-04,22,10,5,0,1,,,,,,,,,,
F0000015,15,event,loan,20240902,2024-09-02,False,187,41,2,6,,2024-09-02,2024-09-23,2024-09-12,10,0,0,0,1,,,,,,,,,,
F0000016,16,event,loan,20240902,2024-09-02,False,8,2,1,1,,2024-09-02,2024-09-23,2024-09-25,23,0,0,0,1,,,,,,,,,,
F0000017,17,event,loan,20240902,2024-09-02,False,2,37,1,5,,2024-09-02,2024-09-23,2024-09-14,12,0,0,0,1,,,,,,,,,,
F0000018,18,event,loan,20240902,2024-09-02,False,90,39,3,5,,2024-09-02,2024-09-23,2024-09-19,17,0,0,0,1,,,,,,,,,,
F0000019,19,event,loan,20240902,2024-09-02,False,177,42,1,6,,2024-09-02,2024-09-23,2024-09-14,12,0,0,0,1,,,,,,,,,,
F0000020,20,event,loan,20240902,2024-09-02,False,369,1,4,1,,2024-09-02,2024-09-23,2024-09-21,13,6,3,0,1,,,,,,,,,,
F0000021,21,event,loan,20240902,2024-09-02,False,87,11,5,2,,2024-09-02,2024-09-23,2024-09-06,4,0,0,0,1,,,,,,,,,,
F0000022,22,event,loan,20240902,2024-09-02,False,437,9,3,2,,2024-09-02,2024-09-23,2024-09-22,20,0,0,0,1,,,,,,,,,,
F0000023,23,event,loan,20240902,2024-09-02,False,364,55,2,7,,2024-09-02,2024-09-23,2024-09-21,19,0,0,0,1,,,,,,,,,,
F0000024,24,event,loan,20240902,2024-09-02,False,40,51,5,7,,2024-09-02,2024-09-23,2024-09-23,12,9,4.5,0,1,,,,,,,,,,
F0000025,25,event,loan,20240902,2024-09-02,False,327,11,1,2,,2024-09-02,2024-09-23,2024-09-11,2,7,3.5,0,1,,,,,,,,,,
F0000026,26,event,loan,20240902,2024-09-02,False,203,2,6,1,,2024-09-02,2024-10-07,2024-10-04,32,0,0,0,1,,,,,,,,,,
F0000027,27,event,loan,20240902,2024-09-02,False,76,35,2,5,,2024-09-02,2024-09-23,2024-09-09,7,0,0,0,1,,,,,,,,,,
F0000028,28,event,loan,20240902,2024-09-02,False,119,67,3,9,,2024-09-02,2024-09-23,2024-09-10,8,0,0,0,1,,,,,,,,,,
F0000029,29,event,loan,20240902,2024-09-02,False,432,4,6,1,,2024-09-02,2024-10-07,2024-09-24,22,0,0,0,1,,,,,,,,,,
F0000030,30,event,loan,20240902,2024-09-02,False,411,2,5,1,,2024-09-02,2024-10-07,2024-09-26,24,0,0,0,1,,,,,,,,,,
F0000031,31,event,loan,20240902,2024-09-02,False,362,24,1,3,,2024-09-02,2024-10-07,2024-09-30,28,0,0,0,1,,,,,,,,,,
F0000032,32,event,loan,20240903,2024-09-03,False,163,12,1,2,,2024-09-03,2024-09-24,2024-09-24,21,0,0,0,1,,,,,,,,,,
F0000033,33,event,loan,20240903,2024-09-03,False,50,17,3,3,,2024-09-03,2024-09-24,2024-09-23,20,0,0,0,1,,,,,,,,,,
F0000034,34,event,loan,20240903,2024-09-03,False,315,9,1,2,,2024-09-03,2024-09-24,2024-09-25,22,0,0,0,1,,,,,,,,,,
F0000035,35,event,loan,20240903,2024-09-03,False,234,3,1,1,,2024-09-03,2024-10-08,2024-10-16,41,2,1,0,1,,,,,,,,,,
F0000036,36,event,loan,20240903,2024-09-03,False,399,22,1,3,,2024-09-03,2024-09-24,2024-09-19,16,0,0,0,1,,,,,,,,,,
F0000037,37,event,loan,20240903,2024-09-03,False,89,9,2,2,,2024-09-03,2024-09-24,2024-09-23,12,8,4,0,1,,,,,,,,,,
F0000038,38,event,loan,20240903,2024-09-03,False,120,42,3,6,,2024-09-03,2024-09-24,2024-09-20,12,5,2.5,0,1,,,,,,,,,,
F0000039,39,event,loan,20240903,2024-09-03,False,401,52,2,7,,2024-09-03,2024-09-24,2024-09-23,20,0,0,0,1,,,,,,,,,,
F0000040,40,event,loan,20240903,2024-09-03,False,355,55,4,7,,2024-09-03,2024-09-24,2024-09-12,9,0,0,0,1,,,,,,,,,,
F0000041,41,event,loan,20240903,2024-09-03,False,338,33,5,5,,2024-09-03,2024-10-08,2024-10-15,32,10,5,0,1,,,,,,,,,,
F0000042,42,event,loan,20240903,2024-09-03,False,171,4,1,1,,2024-09-03,2024-09-24,2024-09-17,14,0,0,0,1,,,,,,,,,,
F0000043,43,event,loan,20240903,2024-09-03,False,376,38,1,5,,2024-09-03,2024-09-24,2024-09-13,7,3,1.5,0,1,,,,,,,,,,
F0000044,44,event,loan,20240903,2024-09-03,False,123,38,1,5,,2024-09-03,2024-09-24,2024-10-03,21,9,4.5,0,1,,,,,,,,,,
F0000045,45,event,loan,20240903,2024-09-03,False,278,9,2,2,,2024-09-03,2024-10-08,2024-10-09,36,0,0,0,1,,,,,,,,,,
F0000046,46,event,loan,20240903,2024-09-03,False,31,68,6,9,,2024-09-03,2024-09-24,2024-09-27,24,0,0,0,1,,,,,,,,,,
F0000047,47,event,loan,20240903,2024-09-03,False,33,19,3,3,,2024-09-03,2024-09-24,2024-09-27,16,8,4,0,1,,,,,,,,,,
F0000048,48,event,loan,20240903,2024-09-03,False,47,4,1,1,,2024-09-03,2024-09-24,2024-09-17,9,5,2.5,0,1,,,,,,,,,,
F0000049,49,event,loan,20240903,2024-09-03,False,257,63,5,8,,2024-09-03,2024-09-24,2024-09-20,17,0,0,0,1,,,,,,,,,,
F0000050,50,event,loan,20240903,2024-09-03,False,362,71,1,9,,2024-09-03,2024-10-08,2024-10-15,42,0,0,0,1,,,,,,,,,,
F0000051,51,event,loan,20240903,2024-09-03,False,107,9,3,2,,2024-09-03,2024-09-24,2024-09-21,12,6,3,0,1,,,,,,,,,,
F0000052,52,event,loan,20240903,2024-09-03,False,315,4,6,1,,2024-09-03,2024-09-24,2024-09-18,15,0,0,0,1,,,,,,,,,,
F0000053,53,event,loan,20240903,2024-09-03,False,118,3,5,1,,2024-09-03,2024-09-24,2024-10-01,28,0,0,0,1,,,,,,,,,,
F0000054,54,event,loan,20240903,2024-09-03,False,80,35,5,5,,2024-09-03,2024-09-24,2024-09-22,19,0,0,0,1,,,,,,,,,,
F0000055,55,event,loan,20240903,2024-09-03,False,181,46,5,6,,2024-09-03,2024-09-24,2024-09-17,14,0,0,0,1,,,,,,,,,,
F0000056,56,event,loan,20240903,2024-09-03,False,239,20,4,3,,2024-09-03,2024-09-24,2024-09-21,18,0,0,0,1,,,,,,,,,,
F0000057,57,event,loan,20240903,2024-09-03,False,76,40,2,5,,2024-09-03,2024-09-24,2024-09-15,12,0,0,0,1,,,,,,,,,,
F0000058,58,event,loan,20240903,2024-09-03,False,380,4,2,1,,2024-09-03,2024-10-08,2024-09-22,19,0,0,0,1,,,,,,,,,,
F0000059,59,event,loan,20240904,2024-09-04,False,368,11,1,2,,2024-09-04,2024-09-25,2024-09-13,9,0,0,0,1,,,,,,,,,,
F0000060,60,event,loan,20240904,2024-09-04,False,119,19,1,3,,2024-09-04,2024-09-25,2024-09-16,12,0,0,0,1,,,,,,,,,,
F0000061,61,event,loan,20240904,2024-09-04,False,166,25,1,4,,2024-09-04,2024-09-25,2024-10-16,25,17,8.5,0,1,,,,,,,,,,
F0000062,62,event,loan,20240904,2024-09-04,False,86,40,3,5,,2024-09-04,2024-10-09,2024-10-06,32,0,0,0,1,,,,,,,,,,
F0000063,63,event,loan,20240904,2024-09-04,False,32,11,4,2,,2024-09-04,2024-09-25,2024-09-26,14,8,4,0,1,,,,,,,,,,
F0000064,64,event,loan,20240904,2024-09-04,False,211,1,1,1,,2024-09-04,2024-09-25,2024-10-12,22,16,8,0,1,,,,,,,,,,
F0000065,65,event,loan,20240904,2024-09-04,False,375,15,5,2,,2024-09-04,2024-09-25,2024-10-09,16,19,9.5,0,1,,,,,,,,,,
F0000066,66,event,loan,20240904,2024-09-04,False,431,10,5,2,,2024-09-04,2024-09-25,2024-09-23,19,0,0,0,1,,,,,,,,,,
F0000067,67,event,loan,20240904,2024-09-04,False,373,1,1,1,,2024-09-04,2024-09-25,2024-09-20,16,0,0,0,1,,,,,,,,,,
F0000068,68,event,loan,20240904,2024-09-04,False,349,3,2,1,,2024-09-04,2024-09-25,2024-10-12,33,5,2.5,0,1,,,,,,,,,,
F0000069,69,event,loan,20240904,2024-09-04,False,163,26,1,4,,2024-09-04,2024-09-25,2024-09-11,7,0,0,0,1,,,,,,,,,,
F0000070,70,event,loan,20240904,2024-09-04,False,180,11,3,2,,2024-09-04,2024-09-25,2024-09-30,16,10,5,0,1,,,,,,,,,,
F0000071,71,event,loan,20240904,2024-09-04,False,292,4,1,1,,2024-09-04,2024-10-09,2024-10-04,30,0,0,0,1,,,,,,,,,,
F0000072,72,event,loan,20240904,2024-09-04,False,292,25,4,4,,2024-09-04,2024-10-09,2024-10-01,27,0,0,0,1,,,,,,,,,,
F0000073,73,event,loan,20240904,2024-09-04,False,307,19,6,3,,2024-09-04,2024-10-09,2024-10-07,33,0,0,0,1,,,,,,,,,,
F0000074,74,event,loan,20240904,2024-09-04,False,192,50,1,7,,2024-09-04,2024-10-09,2024-09-30,26,0,0,0,1,,,,,,,,,,
F0000075,75,event,loan,20240904,2024-09-04,False,414,1,1,1,,2024-09-04,2024-09-25,2024-09-21,11,6,3,0,1,,,,,,,,,,
F0000076,76,event,loan,20240904,2024-09-04,False,345,49,5,7,,2024-09-04,2024-09-25,2024-09-14,10,0,0,0,1,,,,,,,,,,
F0000077,77,event,loan,20240904,2024-09-04,False,165,37,5,5,,2024-09-04,2024-10-09,2024-09-29,25,0,0,0,1,,,,,,,,,,
F0000078,78,event,loan,20240904,2024-09-04,False,442,40,5,5,,2024-09-04,2024-09-25,2024-09-24,20,0,0,0,1,,,,,,,,,,
F0000079,79,event,loan,20240904,2024-09-04,False,63,48,2,6,,2024-09-04,2024-10-09,2024-09-27,23,0,0,0,1,,,,,,,,,,
F0000080,80,event,loan,20240904,2024-09-04,False,151,12,2,2,,2024-09-04,2024-09-25,2024-09-25,21,0,0,0,1,,,,,,,,,,
F0000081,81,event,loan,20240904,2024-09-04,False,389,41,5,6,,2024-09-04,2024-09-25,2024-09-19,15,0,0,0,1,,,,,,,,,,
