snapshot_id,date_id,snapshot_date,book_id,branch_id,category_id,total_copies,available_copies,active_loans,utilization_rate,availability_rate,out_of_stock,loan_count_total,loan_count_120d,unsatisfied_reservations,reallocation_priority
S0000001,20240930,2024-09-30,1,1,1,8,0,8,1.0,0.0,True,4,4,6,Critical
S0000002,20240930,2024-09-30,1,2,1,7,0,7,1.0,0.0,True,1,1,5,Critical
S0000003,20240930,2024-09-30,1,3,1,5,0,5,1.0,0.0,True,1,1,0,Normal
S0000004,20240930,2024-09-30,1,4,1,4,0,4,1.0,0.0,True,2,2,3,Critical
S0000005,20240930,2024-09-30,1,5,1,6,0,6,1.0,0.0,True,2,2,5,Critical
S0000006,20240930,2024-09-30,1,6,1,4,0,4,1.0,0.0,True,5,5,0,High
S0000007,20240930,2024-09-30,2,1,1,8,0,8,1.0,0.0,True,1,1,6,Critical
S0000008,20240930,2024-09-30,2,2,1,7,0,7,1.0,0.0,True,1,1,2,Critical
S0000009,20240930,2024-09-30,2,3,1,5,0,5,1.0,0.0,True,1,1,0,Normal
S0000010,20240930,2024-09-30,2,4,1,4,0,4,1.0,0.0,True,1,1,3,Critical
S0000011,20240930,2024-09-30,2,5,1,6,0,6,1.0,0.0,True,3,3,5,Critical
S0000012,20240930,2024-09-30,2,6,1,4,1,3,0.75,0.25,False,1,1,0,Normal
S0000013,20240930,2024-09-30,3,1,1,5,0,5,1.0,0.0,True,3,3,4,Critical
S0000014,20240930,2024-09-30,3,2,1,5,0,5,1.0,0.0,True,2,2,2,Critical
S0000015,20240930,2024-09-30,3,3,1,4,1,3,0.75,0.25,False,0,0,0,Normal
S0000016,20240930,2024-09-30,3,4,1,3,0,3,1.0,0.0,True,0,0,1,Critical
S0000017,20240930,2024-09-30,3,5,1,4,0,4,1.0,0.0,True,1,1,2,Critical
S0000018,20240930,2024-09-30,3,6,1,3,1,2,0.6667,0.3333,False,2,2,0,Low
S0000019,20240930,2024-09-30,4,1,1,8,0,8,1.0,0.0,True,8,8,6,Critical
S0000020,20240930,2024-09-30,4,2,1,7,0,7,1.0,0.0,True,6,6,6,Critical
S0000021,20240930,2024-09-30,4,3,1,5,0,5,1.0,0.0,True,4,4,2,Critical
S0000022,20240930,2024-09-30,4,4,1,4,0,4,1.0,0.0,True,2,2,3,Critical
S0000023,20240930,2024-09-30,4,5,1,6,0,6,1.0,0.0,True,8,8,5,Critical
S0000024,20240930,2024-09-30,4,6,1,4,0,4,1.0,0.0,True,2,2,0,High
S0000025,20240930,2024-09-30,5,1,1,5,0,5,1.0,0.0,True,0,0,1,Critical
S0000026,20240930,2024-09-30,5,2,1,5,0,5,1.0,0.0,True,0,0,0,Normal
S0000027,20240930,2024-09-30,5,3,1,4,1,3,0.75,0.25,False,0,0,0,Low
S0000028,20240930,2024-09-30,5,4,1,3,0,3,1.0,0.0,True,0,0,0,High
S0000029,20240930,2024-09-30,5,5,1,4,0,4,1.0,0.0,True,0,0,1,Critical
S0000030,20240930,2024-09-30,5,6,1,3,1,2,0.6667,0.3333,False,0,0,0,Low
S0000031,20240930,2024-09-30,6,1,1,4,1,3,0.75,0.25,False,0,0,0,Normal
S0000032,20240930,2024-09-30,6,2,1,3,1,2,0.6667,0.3333,False,0,0,0,Normal
S0000033,20240930,2024-09-30,6,3,1,2,1,1,0.5,0.5,False,1,1,0,Low
S0000034,20240930,2024-09-30,6,4,1,2,0,2,1.0,0.0,True,1,1,0,Normal
S0000035,20240930,2024-09-30,6,5,1,3,0,3,1.0,0.0,True,0,0,0,Normal
S0000036,20240930,2024-09-30,6,6,1,2,1,1,0.5,0.5,False,0,0,0,Low
S0000037,20240930,2024-09-30,7,1,1,4,0,4,1.0,0.0,True,1,1,0,Normal
S0000038,20240930,2024-09-30,7,2,1,3,1,2,0.6667,0.3333,False,0,0,0,Low
S0000039,20240930,2024-09-30,7,3,1,2,1,1,0.5,0.5,False,0,0,0,Low
S0000040,20240930,2024-09-30,7,4,1,2,1,1,0.5,0.5,False,0,0,0,Low
S0000041,20240930,2024-09-30,7,5,1,3,0,3,1.0,0.0,True,0,0,0,Normal
S0000042,20240930,2024-09-30,7,6,1,2,1,1,0.5,0.5,False,0,0,0,Low
S0000043,20240930,2024-09-30,8,1,1,4,0,4,1.0,0.0,True,0,0,0,Normal
S0000044,20240930,2024-09-30,8,2,1,3,1,2,0.6667,0.3333,False,0,0,0,Low
S0000045,20240930,2024-09-30,8,3,1,2,1,1,0.5,0.5,False,0,0,0,Low
S0000046,20240930,2024-09-30,8,4,1,2,0,2,1.0,0.0,True,0,0,0,Normal
S0000047,20240930,2024-09-30,8,5,1,3,0,3,1.0,0.0,True,0,0,0,Normal
S0000048,20240930,2024-09-30,8,6,1,2,1,1,0.5,0.5,False,0,0,0,Low
S0000049,20240930,2024-09-30,9,1,2,8,0,8,1.0,0.0,True,3,3,6,Critical
S0000050,20240930,2024-09-30,9,2,2,7,0,7,1.0,0.0,True,1,1,6,Critical
S0000051,20240930,2024-09-30,9,3,2,5,0,5,1.0,0.0,True,2,2,0,Normal
S0000052,20240930,2024-09-30,9,4,2,4,0,4,1.0,0.0,True,2,2,3,Critical
S0000053,20240930,2024-09-30,9,5,2,6,0,6,1.0,0.0,True,3,3,5,Critical
S0000054,20240930,2024-09-30,9,6,2,4,0,4,1.0,0.0,True,3,3,0,High
S0000055,20240930,2024-09-30,10,1,2,5,0,5,1.0,0.0,True,2,2,3,Critical
S0000056,20240930,2024-09-30,10,2,2,5,0,5,1.0,0.0,True,2,2,1,High
S0000057,20240930,2024-09-30,10,3,2,4,1,3,0.75,0.25,False,1,1,0,Normal
S0000058,20240930,2024-09-30,10,4,2,3,0,3,1.0,0.0,True,1,1,1,Critical
S0000059,20240930,2024-09-30,10,5,2,4,0,4,1.0,0.0,True,0,0,2,Critical
S0000060,20240930,2024-09-30,10,6,2,3,1,2,0.6667,0.3333,False,1,1,0,Low
S0000061,20240930,2024-09-30,11,1,2,8,0,8,1.0,0.0,True,9,9,6,Critical
S0000062,20240930,2024-09-30,11,2,2,7,0,7,1.0,0.0,True,7,7,6,Critical
S0000063,20240930,2024-09-30,11,3,2,5,0,5,1.0,0.0,True,5,5,2,Critical
S0000064,20240930,2024-09-30,11,4,2,4,0,4,1.0,0.0,True,2,2,3,Critical
S0000065,20240930,2024-09-30,11,5,2,6,0,6,1.0,0.0,True,3,3,5,Critical
S0000066,20240930,2024-09-30,11,6,2,4,0,4,1.0,0.0,True,2,2,1,Critical
S0000067,20240930,2024-09-30,12,1,2,5,0,5,1.0,0.0,True,3,3,4,Critical
S0000068,20240930,2024-09-30,12,2,2,5,0,5,1.0,0.0,True,0,0,2,Critical
S0000069,20240930,2024-09-30,12,3,2,4,1,3,0.75,0.25,False,1,1,0,Low
S0000070,20240930,2024-09-30,12,4,2,3,0,3,1.0,0.0,True,1,1,1,Critical
S0000071,20240930,2024-09-30,12,5,2,4,0,4,1.0,0.0,True,1,1,2,Critical
S0000072,20240930,2024-09-30,12,6,2,3,1,2,0.6667,0.3333,False,0,0,0,Low
S0000073,20240930,2024-09-30,13,1,2,4,0,4,1.0,0.0,True,1,1,0,High
S0000074,20240930,2024-09-30,13,2,2,3,1,2,0.6667,0.3333,False,1,1,0,Low
S0000075,20240930,2024-09-30,13,3,2,2,1,1,0.5,0.5,False,3,3,0,Low
S0000076,20240930,2024-09-30,13,4,2,2,0,2,1.0,0.0,True,0,0,0,Normal
S0000077,20240930,2024-09-30,13,5,2,3,0,3,1.0,0.0,True,1,1,0,Normal
S0000078,20240930,2024-09-30,13,6,2,2,1,1,0.5,0.5,False,0,0,0,Low
S0000079,20240930,2024-09-30,14,1,2,4,0,4,1.0,0.0,True,1,1,0,High
S0000080,20240930,2024-09-30,14,2,2,3,0,3,1.0,0.0,True,1,1,0,Normal
S0000081,20240930,2024-09-30,14,3,2,2,1,1,0.5,0.5,False,1,1,0,Low
S0000082,20240930,2024-09-30,14,4,2,2,0,2,1.0,0.0,True,0,0,0,Normal
S0000083,20240930,2024-09-30,14,5,2,3,0,3,1.0,0.0,True,0,0,0,High
S0000084,20240930,2024-09-30,14,6,2,2,1,1,0.5,0.5,False,0,0,0,Low
S0000085,20240930,2024-09-30,15,1,2,5,0,5,1.0,0.0,True,2,2,4,Critical
S0000086,20240930,2024-09-30,15,2,2,5,0,5,1.0,0.0,True,3,3,1,High
S0000087,20240930,2024-09-30,15,3,2,4,1,3,0.75,0.25,False,3,3,0,Normal
S0000088,20240930,2024-09-30,15,4,2,3,0,3,1.0,0.0,True,1,1,1,Critical
S0000089,20240930,2024-09-30,15,5,2,4,0,4,1.0,0.0,True,1,1,3,Critical
S0000090,20240930,2024-09-30,15,6,2,3,1,2,0.6667,0.3333,False,2,2,0,Normal
S0000091,20240930,2024-09-30,16,1,2,4,0,4,1.0,0.0,True,0,0,0,Normal
S0000092,20240930,2024-09-30,16,2,2,3,1,2,0.6667,0.3333,False,0,0,0,Low
S0000093,20240930,2024-09-30,16,3,2,2,1,1,0.5,0.5,False,0,0,0,Low
S0000094,20240930,2024-09-30,16,4,2,2,0,2,1.0,0.0,True,0,0,0,Normal
S0000095,20240930,2024-09-30,16,5,2,3,1,2,0.6667,0.3333,False,0,0,0,Low
S0000096,20240930,2024-09-30,16,6,2,2,1,1,0.5,0.5,False,0,0,0,Low
S0000097,20240930,2024-09-30,17,1,3,8,0,8,1.0,0.0,True,0,0,6,Critical
S0000098,20240930,2024-09-30,17,2,3,7,0,7,1.0,0.0,True,3,3,6,Critical
S0000099,20240930,2024-09-30,17,3,3,5,0,5,1.0,0.0,True,3,3,0,High
S0000100,20240930,2024-09-30,17,4,3,4,0,4,1.0,0.0,True,2,2,3,Critical
S0000101,20240930,2024-09-30,17,5,3,6,0,6,1.0,0.0,True,2,2,5,Critical
S0000102,20240930,2024-09-30,17,6,3,4,0,4,1.0,0.0,True,0,0,0,High
S0000103,20240930,2024-09-30,18,1,3,8,0,8,1.0,0.0,True,2,2,6,Critical
S0000104,20240930,2024-09-30,18,2,3,7,0,7,1.0,0.0,True,2,2,4,Critical
S0000105,20240930,2024-09-30,18,3,3,5,0,5,1.0,0.0,True,2,2,0,High
S0000106,20240930,2024-09-30,18,4,3,4,0,4,1.0,0.0,True,0,0,3,Critical
S0000107,20240930,2024-09-30,18,5,3,6,0,6,1.0,0.0,True,0,0,5,Critical
S0000108,20240930,2024-09-30,18,6,3,4,1,3,0.75,0.25,False,0,0,0,Normal
S0000109,20240930,2024-09-30,19,1,3,8,0,8,1.0,0.0,True,5,5,6,Critical
S0000110,20240930,2024-09-30,19,2,3,7,0,7,1.0,0.0,True,4,4,6,Critical
S0000111,20240930,2024-09-30,19,3,3,5,0,5,1.0,0.0,True,0,0,2,Critical
S0000112,20240930,2024-09-30,19,4,3,4,0,4,1.0,0.0,True,1,1,3,Critical
S0000113,20240930,2024-09-30,19,5,3,6,0,6,1.0,0.0,True,5,5,5,Critical
S0000114,20240930,2024-09-30,19,6,3,4,0,4,1.0,0.0,True,3,3,0,High
S0000115,20240930,2024-09-30,20,1,3,5,0,5,1.0,0.0,True,0,0,3,Critical
S0000116,20240930,2024-09-30,20,2,3,5,0,5,1.0,0.0,True,3,3,1,Critical
S0000117,20240930,2024-09-30,20,3,3,4,1,3,0.75,0.25,False,3,3,0,Normal
S0000118,20240930,2024-09-30,20,4,3,3,0,3,1.0,0.0,True,2,2,1,Critical
S0000119,20240930,2024-09-30,20,5,3,4,0,4,1.0,0.0,True,0,0,1,Critical
S0000120,20240930,2024-09-30,20,6,3,3,1,2,0.6667,0.3333,False,0,0,0,Low
S0000121,20240930,2024-09-30,21,1,3,4,0,4,1.0,0.0,True,1,1,0,Normal
S0000122,20240930,2024-09-30,21,2,3,3,1,2,0.6667,0.3333,False,0,0,0,Low
S0000123,20240930,2024-09-30,21,3,3,2,1,1,0.5,0.5,False,1,1,0,Low
S0000124,20240930,2024-09-30,21,4,3,2,0,2,1.0,0.0,True,0,0,0,Normal
