loan_id,date_id,event_date,user_id,book_id,branch_id,category_id,loan_date,due_date,return_date,loan_duration_days,days_overdue,penalty_amount,quantity
L000001,20251107,2025-11-07,38,1,2,1,2025-11-07,2025-12-05,2025-12-09,32,5,1.5,1
L000002,20241205,2024-12-05,236,58,1,8,2024-12-05,2024-12-19,2025-01-02,28,15,4.5,1
L000003,20250512,2025-05-12,249,38,5,5,2025-05-12,2025-06-09,2025-06-09,28,0,0.0,1
L000004,20260517,2026-05-17,115,29,1,4,2026-05-17,2026-05-31,2026-05-31,14,0,0.0,1
L000005,20260529,2026-05-29,55,63,5,8,2026-05-29,2026-06-12,,2,0,0.0,1
L000006,20260116,2026-01-16,49,10,1,2,2026-01-16,2026-02-13,2026-02-13,28,0,0.0,1
L000007,20250404,2025-04-04,20,35,6,5,2025-04-04,2025-04-18,2025-04-18,14,0,0.0,1
L000008,20251216,2025-12-16,274,57,1,8,2025-12-16,2025-12-30,2025-12-30,14,0,0.0,1
L000009,20251223,2025-12-23,89,18,2,3,2025-12-23,2026-01-06,2026-01-06,14,0,0.0,1
L000010,20250521,2025-05-21,370,17,1,3,2025-05-21,2025-06-18,2025-06-20,30,2,0.6,1
L000011,20251127,2025-11-27,404,64,3,8,2025-11-27,2025-12-25,2026-01-06,40,14,4.2,1
L000012,20240909,2024-09-09,157,1,6,1,2024-09-09,2024-10-07,2024-10-07,28,0,0.0,1
L000013,20250114,2025-01-14,95,64,5,8,2025-01-14,2025-01-28,2025-01-28,14,0,0.0,1
L000014,20250918,2025-09-18,203,68,1,9,2025-09-18,2025-10-16,2025-10-16,28,0,0.0,1
L000015,20241226,2024-12-26,399,65,3,9,2024-12-26,2025-01-09,2025-01-09,14,0,0.0,1
L000016,20241227,2024-12-27,196,12,2,2,2024-12-27,2025-01-24,2025-01-22,26,0,0.0,1
L000017,20260226,2026-02-26,68,10,3,2,2026-02-26,2026-03-12,2026-03-12,14,0,0.0,1
L000018,20260527,2026-05-27,443,34,5,5,2026-05-27,2026-06-10,,4,0,0.0,1
L000019,20251008,2025-10-08,246,52,1,7,2025-10-08,2025-11-05,2025-11-05,28,0,0.0,1
L000020,20260301,2026-03-01,178,38,4,5,2026-03-01,2026-03-15,2026-03-26,25,11,3.3,1
L000021,20260527,2026-05-27,402,31,5,4,2026-05-27,2026-06-24,,4,0,0.0,1
L000022,20241216,2024-12-16,420,7,1,1,2024-12-16,2025-01-13,2025-02-01,47,19,5.7,1
L000023,20250613,2025-06-13,244,19,6,3,2025-06-13,2025-06-27,2025-06-27,14,0,0.0,1
L000024,20250522,2025-05-22,164,4,2,1,2025-05-22,2025-06-05,2025-06-05,14,0,0.0,1
L000025,20241030,2024-10-30,236,58,1,8,2024-10-30,2024-11-13,2024-11-13,14,0,0.0,1
L000026,20260111,2026-01-11,127,36,5,5,2026-01-11,2026-01-25,2026-02-13,33,21,6.3,1
L000027,20250608,2025-06-08,234,3,1,1,2025-06-08,2025-07-06,2025-07-18,40,14,4.2,1
L000028,20250623,2025-06-23,131,1,1,1,2025-06-23,2025-07-07,2025-07-07,14,0,0.0,1
L000029,20241220,2024-12-20,296,58,5,8,2024-12-20,2025-01-17,2025-01-15,26,0,0.0,1
L000030,20250102,2025-01-02,348,49,5,7,2025-01-02,2025-01-30,2025-01-28,26,0,0.0,1
L000031,20260427,2026-04-27,437,30,4,4,2026-04-27,2026-05-11,2026-05-09,12,0,0.0,1
L000032,20241004,2024-10-04,388,43,2,6,2024-10-04,2024-10-18,2024-10-18,14,0,0.0,1
L000033,20250123,2025-01-23,54,47,1,6,2025-01-23,2025-02-06,2025-02-13,21,7,2.1,1
L000034,20250318,2025-03-18,125,39,5,5,2025-03-18,2025-04-01,2025-04-01,14,0,0.0,1
L000035,20250811,2025-08-11,255,60,3,8,2025-08-11,2025-09-08,2025-09-08,28,0,0.0,1
L000036,20251027,2025-10-27,140,35,3,5,2025-10-27,2025-11-24,2025-11-24,28,0,0.0,1
L000037,20250820,2025-08-20,8,55,1,7,2025-08-20,2025-09-03,2025-09-03,14,0,0.0,1
L000038,20241104,2024-11-04,347,37,2,5,2024-11-04,2024-12-02,2024-11-30,26,0,0.0,1
L000039,20250131,2025-01-31,186,50,1,7,2025-01-31,2025-02-28,2025-02-28,28,0,0.0,1
L000040,20260304,2026-03-04,41,63,5,8,2026-03-04,2026-03-18,2026-03-18,14,0,0.0,1
L000041,20251126,2025-11-26,249,51,3,7,2025-11-26,2025-12-24,2025-12-20,24,0,0.0,1
L000042,20251201,2025-12-01,440,38,4,5,2025-12-01,2025-12-15,2025-12-11,10,0,0.0,1
L000043,20251209,2025-12-09,319,18,5,3,2025-12-09,2026-01-06,2026-01-05,27,0,0.0,1
L000044,20260113,2026-01-13,90,35,6,5,2026-01-13,2026-01-27,2026-02-13,31,17,5.1,1
L000045,20241014,2024-10-14,251,46,1,6,2024-10-14,2024-10-28,2024-10-28,14,0,0.0,1
L000046,20250512,2025-05-12,405,4,4,1,2025-05-12,2025-06-09,2025-06-09,28,0,0.0,1
L000047,20250927,2025-09-27,34,46,2,6,2025-09-27,2025-10-11,2025-10-08,11,0,0.0,1
L000048,20250501,2025-05-01,303,35,1,5,2025-05-01,2025-05-29,2025-05-28,27,0,0.0,1
L000049,20260305,2026-03-05,333,27,1,4,2026-03-05,2026-04-02,2026-04-02,28,0,0.0,1
L000050,20250717,2025-07-17,324,35,2,5,2025-07-17,2025-08-14,2025-08-14,28,0,0.0,1
L000051,20260115,2026-01-15,87,25,1,4,2026-01-15,2026-01-29,2026-01-26,11,0,0.0,1
L000052,20260311,2026-03-11,411,36,5,5,2026-03-11,2026-04-08,2026-04-07,27,0,0.0,1
L000053,20250905,2025-09-05,165,35,1,5,2025-09-05,2025-10-03,2025-10-03,28,0,0.0,1
L000054,20260428,2026-04-28,32,29,4,4,2026-04-28,2026-05-12,2026-05-12,14,0,0.0,1
L000055,20251028,2025-10-28,52,64,1,8,2025-10-28,2025-11-11,2025-11-11,14,0,0.0,1
L000056,20260310,2026-03-10,223,51,6,7,2026-03-10,2026-04-07,2026-04-07,28,0,0.0,1
L000057,20250501,2025-05-01,23,30,5,4,2025-05-01,2025-05-29,2025-05-28,27,0,0.0,1
L000058,20250902,2025-09-02,360,25,2,4,2025-09-02,2025-09-16,2025-09-16,14,0,0.0,1
L000059,20250922,2025-09-22,397,26,4,4,2025-09-22,2025-10-20,2025-10-20,28,0,0.0,1
L000060,20241127,2024-11-27,7,55,1,7,2024-11-27,2024-12-11,2024-12-11,14,0,0.0,1
L000061,20250525,2025-05-25,371,20,1,3,2025-05-25,2025-06-22,2025-06-20,26,0,0.0,1
L000062,20260502,2026-05-02,441,40,5,5,2026-05-02,2026-05-30,,29,0,0.0,1
L000063,20251124,2025-11-24,18,31,5,4,2025-11-24,2025-12-08,2025-12-07,13,0,0.0,1
L000064,20250101,2025-01-01,334,11,3,2,2025-01-01,2025-01-15,2025-01-22,21,7,2.1,1
L000065,20250501,2025-05-01,450,65,2,9,2025-05-01,2025-05-15,2025-05-14,13,0,0.0,1
L000066,20250107,2025-01-07,364,35,3,5,2025-01-07,2025-01-21,2025-01-21,14,0,0.0,1
