book_id,loan_count,title,author,category
4,825,IA Générative et Applications,Thomas Bernard,Data Science & IA
2,813,Machine Learning Appliqué,Karim Benali,Data Science & IA
1,770,Python pour la Data Analyse,Nadia Lefèvre,Data Science & IA
25,718,Statistiques pour Data Science,Mathieu Perrin,Statistiques
11,694,DAX Patterns pour BI,Marco Ricci,Business Intelligence
9,661,Power BI Avancé,Raphaël Dubois,Business Intelligence
17,607,SQL pour l’Entrepôt de Données,Samuel Laurent,Data Engineering
18,587,Data Warehouse & OLAP,Élodie Garnier,Data Engineering
19,550,ETL Moderne avec Python,Nora Fischer,Data Engineering
3,352,Deep Learning Pratique,Claire Martin,Data Science & IA
51,346,Marketing Analytics,Camila Rossi,Économie-Gestion
5,340,Fondamentaux de la Science des Données,Sophie Durand,Data Science & IA
40,314,Legal Tech et Compliance,Eva Romano,Droit
33,304,Code Civil Commenté,Jean Marchand,Droit
35,302,Droit Européen des Données,Antoine Weber,Droit
42,297,Épidémiologie Pratique,Dr. Malik Saïd,Santé
41,296,Santé Publique et Données,Dr. Anaïs Leroux,Santé
26,283,Probabilités Appliquées,Sarah Cohen,Statistiques
10,282,Tableaux de Bord Décisionnels,Julie Mercier,Business Intelligence
15,272,Power Query en Pratique,Mina Haddad,Business Intelligence
